District,D Lite %,D Deluxe %,D Classic %,R Lite %,R Reluxe %,R Classic %
AK-1,0.22816,0.18396,0.29372,0.77184,0.81604,0.70628
AL-7,1.0,1.0,1.0,0,0,0
AL-6,0.00016,0.00014,0.00014,0.99984,0.9998599999999999,0.9998599999999999
AL-5,0.0037,0.00134,0.0015,0.9963,0.99866,0.9985
AL-4,0.0,0.0,0.0,1.0,1.0,1.0
AL-3,0.0033,0.00198,0.00232,0.9967,0.99802,0.99768
AL-2,0.00442,0.01716,0.02474,0.99558,0.98284,0.97526
AL-1,0.00604,0.00032,0.00034,0.99396,0.99968,0.99966
AR-4,0.01266,0.0006,0.0006999999999999999,0.98734,0.9994,0.9993
AR-3,0.01704,0.00106,0.00124,0.98296,0.99894,0.9987600000000001
AR-2,0.2247,0.19362,0.21626,0.77524,0.80632,0.78368
AR-1,0.0091,0.0006,0.0008,0.9909,0.9994,0.9992
AZ-9,0.94662,0.9951000000000001,0.9939199999999999,0.053380000000000004,0.0049,0.0060799999999999995
AZ-8,0.05726,0.0715,0.16272000000000003,0.94274,0.9285,0.8372800000000001
AZ-7,0.9998999999999999,0.9998999999999999,0.9998999999999999,0,0,0
AZ-6,0.05778,0.11984,0.18854000000000004,0.94222,0.88016,0.81146
AZ-5,0.00944,0.0017,0.002,0.99056,0.9983,0.998
AZ-4,0.00092,0.00058,0.00068,0.99906,0.9994,0.9993
AZ-3,0.99966,0.99996,0.99992,0.00034,4.0e-05,8.0e-05
AZ-2,0.78646,0.9186999999999999,0.9388599999999999,0.21353999999999998,0.08129999999999998,0.06114
AZ-1,0.96366,0.97014,0.97796,0.03634,0.02986,0.02204
CA-9,0.9989,0.99924,0.99896,0.0011,0.0007599999999999999,0.00104
CA-8,0,0,0,0.02748,0.02748,0.02748
CA-7,0.9645,0.99162,0.98954,0.0355,0.00838,0.01046
CA-6,0.0,0.0,0.0,0,0,0
CA-53,0.99992,0.99996,0.99994,8.0e-05,4.0e-05,6.0e-05
CA-52,0.99902,0.99954,0.9991600000000002,0.00098,0.00046,0.00084
CA-51,1.0,1.0,1.0,0.0,0.0,0.0
CA-50,0.15424,0.16832,0.18173999999999998,0.84576,0.83168,0.81826
CA-5,0.99966,0.99966,0.99966,0,0,0
CA-49,0.62594,0.85832,0.8442000000000001,0.37406,0.14168,0.1558
CA-48,0.4946400000000001,0.6541799999999999,0.66618,0.50536,0.34582,0.33382
CA-47,0.99982,0.99984,0.99984,0.00018,0.00016,0.00016
CA-46,0.9998999999999999,0.9999800000000001,0.99994,0.0001,2.0e-05,6.0e-05
CA-45,0.40782,0.5747,0.61092,0.59218,0.4253,0.38908000000000004
CA-44,0.0,0.0,0.0,0,0,0
CA-43,0.9999800000000001,0.9999800000000001,0.9999800000000001,2.0e-05,2.0e-05,2.0e-05
CA-42,0.04854,0.01868,0.02986,0.95146,0.9813199999999999,0.97014
CA-41,0.99976,0.99988,0.99984,0.00024,0.00012,0.00016
CA-40,0.99928,0.99928,0.99928,0,0,0
CA-4,0.05258,0.1385,0.16234,0.94742,0.8615,0.83766
CA-39,0.70144,0.572,0.54812,0.29856,0.428,0.45188
CA-38,0.9999800000000001,1.0,0.9999800000000001,2.0e-05,0.0,2.0e-05
CA-37,1.0,1.0,1.0,0.0,0.0,0.0
CA-36,0.9913,0.99796,0.9971,0.0087,0.00204,0.0029
CA-35,0.99996,1.0,1.0,4.0e-05,0.0,0.0
CA-34,0.9997,0.9997,0.9997,0,0,0
CA-33,0.99984,0.99994,0.99994,0.00016,6.0e-05,6.0e-05
CA-32,0.9999800000000001,1.0,1.0,2.0e-05,0.0,0.0
CA-31,0.9989199999999999,0.99874,0.9979,0.00108,0.00126,0.0021
CA-30,0.9999800000000001,1.0,1.0,2.0e-05,0.0,0.0
CA-3,0.9969,0.99948,0.99922,0.0031,0.00052,0.00078
CA-29,1.0,1.0,1.0,0.0,0.0,0.0
CA-28,0.9999800000000001,1.0,1.0,2.0e-05,0.0,0.0
CA-27,0.0,0.0,0.0,0,0,0
CA-26,0.99814,0.9998999999999999,0.9997799999999999,0.0018599999999999999,0.0001,0.00022000000000000003
CA-25,0.4635,0.71434,0.7838,0.5365,0.28566,0.2162
CA-24,0.9508,0.9887,0.98128,0.0492,0.0113,0.01872
CA-23,0.00862,0.0012,0.00128,0.99138,0.9987999999999999,0.99872
CA-22,0.13058,0.03288,0.06234,0.86942,0.96712,0.93766
CA-21,0.7597,0.28858,0.39692,0.2403,0.71142,0.60308
CA-20,0.9994,0.9994,0.9994,0,0,0
CA-2,1.0,1.0,1.0,0.0,0.0,0.0
CA-19,1.0,1.0,1.0,0.0,0.0,0.0
CA-18,0.9999800000000001,1.0,1.0,2.0e-05,0.0,0.0
CA-17,1.0,1.0,1.0,0.0,0.0,0.0
CA-16,0.9987999999999999,0.99626,0.9961,0.0012,0.00374,0.0038999999999999994
CA-15,0.9999800000000001,1.0,1.0,2.0e-05,0.0,0.0
CA-14,1.0,1.0,1.0,0.0,0.0,0.0
CA-13,0.99996,0.99996,0.99996,0,0,0
CA-12,1.0,1.0,1.0,0.0,0.0,0.0
CA-11,0.9999800000000001,1.0,0.9999800000000001,2.0e-05,0.0,2.0e-05
CA-10,0.42358000000000007,0.66712,0.7259,0.57642,0.33288000000000006,0.2741
CA-1,0.029000000000000005,0.0741,0.18407999999999997,0.971,0.9259,0.81592
CO-7,0.997,0.99898,0.99854,0.003,0.00102,0.00146
CO-6,0.80292,0.7779200000000001,0.83536,0.19708000000000003,0.22207999999999997,0.16464
CO-5,0.013419999999999998,0.01584,0.02346,0.98658,0.9841599999999999,0.97654
CO-4,0.01592,0.02052,0.03388,0.9840800000000001,0.9794800000000001,0.96612
CO-3,0.1162,0.2515,0.41648,0.8838000000000001,0.7485,0.58352
CO-2,0.9906,0.99928,0.99894,0.0094,0.00072,0.00106
CO-1,1.0,1.0,1.0,0.0,0.0,0.0
CT-5,0.86298,0.9863599999999999,0.97864,0.137,0.01364,0.02136
CT-4,0.9989199999999999,0.99922,0.9990000000000001,0.00108,0.00078,0.001
CT-3,0.99882,1.0,0.9999800000000001,0.00118,0.0,2.0e-05
CT-2,0.99356,0.9997399999999999,0.99952,0.00644,0.00026,0.00048
CT-1,0.99968,0.99996,0.99988,0.00032,4.0e-05,0.00012
DE-1,0.9657800000000001,0.99682,0.99398,0.03422,0.00318,0.00602
FL-9,0.9964799999999999,0.99948,0.99912,0.0035200000000000006,0.00052,0.0008800000000000001
FL-8,0.02222,0.01326,0.01832,0.9777799999999999,0.98674,0.9816800000000001
FL-7,0.84098,0.9571999999999999,0.9432,0.15902,0.04279999999999999,0.0568
FL-6,0.33152000000000004,0.20908,0.3131,0.66848,0.79092,0.6869
FL-5,0.99972,0.9999800000000001,0.9999800000000001,0.00028,2.0e-05,2.0e-05
FL-4,0.00292,0.00022000000000000003,0.00022000000000000003,0.99708,0.9997799999999999,0.9997799999999999
FL-3,0.03832,0.011820000000000002,0.01606,0.9616799999999999,0.98818,0.98394
FL-27,0.9442,0.96186,0.9842799999999999,0.05576,0.0381,0.01568
FL-26,0.64376,0.51818,0.63264,0.35624,0.48182,0.36736
FL-25,0.23102,0.18332,0.30006,0.76898,0.81668,0.69994
FL-24,1.0,1.0,1.0,0,0,0
FL-23,0.99972,0.99994,0.9998599999999999,0.00028,6.0e-05,0.00014
FL-22,0.9974,0.99944,0.99912,0.0026,0.00056,0.0008800000000000001
FL-21,1.0,1.0,1.0,0,0,0
FL-20,1.0,1.0,1.0,0,0,0
FL-2,0.00114,0.00034,0.00037999999999999997,0.99886,0.99966,0.9996199999999998
FL-19,0.00954,0.00664,0.00816,0.9904600000000001,0.99336,0.9918400000000002
FL-18,0.11462,0.11058,0.10476,0.88538,0.8894199999999999,0.89524
FL-17,0.04764,0.00292,0.0032,0.9523600000000001,0.99708,0.9968
FL-16,0.156,0.15902,0.16132,0.8439999999999999,0.84098,0.83868
FL-15,0.42701999999999996,0.25496,0.35822,0.57298,0.74504,0.64178
FL-14,1.0,1.0,1.0,0,0,0
FL-13,0.98872,0.99872,0.99818,0.011280000000000002,0.00128,0.00182
FL-12,0.03974,0.010780000000000001,0.014379999999999999,0.96024,0.9892,0.9856
FL-11,0.00412,0.00082,0.00098,0.99588,0.99918,0.99902
FL-10,1.0,1.0,1.0,0,0,0
FL-1,0.0006999999999999999,2.0e-05,2.0e-05,0.9993,0.9999800000000001,0.9999800000000001
GA-9,0.0,0.0,0.0,1.0,1.0,1.0
GA-8,0,0,0,1.0,1.0,1.0
GA-7,0.20774,0.22566,0.3478,0.79226,0.77434,0.6522
GA-6,0.21308,0.08728,0.07524,0.78692,0.9127199999999999,0.92476
GA-5,1.0,1.0,1.0,0,0,0
GA-4,1.0,1.0,1.0,0.0,0.0,0.0
GA-3,0.00126,8.0e-05,0.0001,0.99874,0.99992,0.9998999999999999
GA-2,0.9974199999999999,0.9996,0.99934,0.0025800000000000003,0.0004,0.00066
GA-14,0.0,0.0,0.0,1.0,1.0,1.0
GA-13,1.0,1.0,1.0,0.0,0.0,0.0
