District,Incumbent,Primary,Democrat,D Funds,538 D Wins %,538 D $/%,Cook D $/%,Republican,R Funds,538 R Wins %,538 R $/%,Cook R $/%,Cook,%Clinton 2016,%Obama 2012
MN-8,Open seat,,Joe Radinovich,"$333,199",51.91%,"6,418.78","6,286.77",Pete Stauber,"$960,478",48.09%,"19,974.17","20,435.70",Toss Up D,38.60%,51.70%
NY-27,Open seat,,Nate McMurray,"$133,975",15.49%,"8,651.36","26,795.00",Chris Collins,"$1,278,749",84.51%,"15,131.33","13,460.51",Likely R,35.20%,42.90%
KS-3,Kevin Yoder,,Sharice Davids,"$345,304",35.60%,"9,698.46","7,346.90",Kevin Yoder,"$2,785,787",64.39%,"43,262.94","52,562.03",Toss Up R,47.20%,44.30%
MI-11,Open seat,,Haley Stevens,"$1,037,752",70.19%,"14,784.90","22,079.84",Lena Epstein,"$1,648,799",29.81%,"55,310.28","31,109.42",Toss Up R,45.30%,46.90%
NE-2,Don Bacon,,Kara Eastman,"$783,953",48.54%,"16,150.00","60,304.10",Don Bacon,"$1,841,308",51.46%,"35,782.73","21,164.46",Lean R,46.00%,45.70%
FL-15,Open seat,2018-8-28,Kristen Carlson,"$304,688",18.60%,"16,377.57","23,437.56",Ross Spano,"$220,922",81.40%,"2,714.17","2,539.34",Lean R,43.10%,46.60%
IA-3,David Young,,Cindy Axne,"$1,076,543",63.07%,"17,068.47","22,905.16",David Young,"$1,758,963",36.93%,"47,632.23","33,187.98",Toss Up R,45.00%,51.40%
NC-2,George Holding,,Linda Coleman,"$299,723",15.78%,"18,993.87","23,055.63",George Holding,"$1,858,718",84.22%,"22,070.31","21,364.57",Lean R,43.60%,43.00%
PA-10,Scott Perry,,George Scott,"$358,230",17.64%,"20,310.14","27,556.18",Scott Perry,"$644,268",82.36%,"7,822.39","7,405.38",Lean R,43.40%,46.00%
VA-10,Barbara Comstock,,Jennifer Wexton,"$1,934,197",81.24%,"23,807.26","22,232.15",Barbara Comstock,"$3,818,909",18.76%,"203,610.00","293,762.24",Lean D,52.20%,48.80%
