District,Incumbent,Primary,Democrat,D Funds,538 D Wins %,538 D $/%,Cook D $/%,Republican,R Funds,538 R Wins %,538 R $/%,Cook R $/%,Cook,%Clinton 2016,%Obama 2012,Donation Links
KS-3,Kevin Yoder,,Sharice Davids,"$345,304",55.91%,"6,176.07","7,346.90",Kevin Yoder,"$2,785,787",44.09%,"63,184.11","52,562.03",Toss Up R,47.20%,44.30%,https://secure.actblue.com/donate/sharice-for-congress-1
MN-8,Open seat,,Joe Radinovich,"$333,199",49.34%,"6,752.57","6,286.77",Pete Stauber,"$960,478",50.64%,"18,965.28","20,435.70",Toss Up D,38.60%,51.70%,https://secure.actblue.com/donate/joeforcongress
NC-2,George Holding,,Linda Coleman,"$299,723",33.72%,"8,888.59","23,055.63",George Holding,"$1,858,718",66.28%,"28,044.26","21,364.57",Lean R,43.60%,43.00%,https://act.myngp.com/Forms/-466619333320897536
FL-15,Open seat,2018-8-28,Kristen Carlson,"$304,688",26.03%,"11,707.07","23,437.56",Ross Spano,"$220,922",73.97%,"2,986.48","2,539.34",Lean R,43.10%,46.60%,https://secure.actblue.com/donate/kristen-carlson-for-congress-1
MI-11,Open seat,,Haley Stevens,"$1,037,752",71.71%,"14,471.51","22,079.84",Lena Epstein,"$1,648,799",28.29%,"58,282.06","31,109.42",Toss Up R,45.30%,46.90%,https://secure.actblue.com/contribute/page/hs_website
PA-10,Scott Perry,,George Scott,"$357,528",19.78%,"18,073.42","27,502.19",Scott Perry,"$644,268",80.22%,"8,031.46","7,405.38",Lean R,43.40%,46.00%,https://secure.actblue.com/donate/gs-web-donate
IA-3,David Young,,Cindy Axne,"$1,076,543",56.76%,"18,966.57","22,905.16",David Young,"$1,758,963",43.24%,"40,680.95","33,187.98",Toss Up R,45.00%,51.40%,https://secure.actblue.com/donate/cindyaxneforcongress
VA-10,Barbara Comstock,,Jennifer Wexton,"$1,934,197",81.76%,"23,657.59","22,232.15",Barbara Comstock,"$3,818,909",18.24%,"209,347.06","293,762.24",Lean D,52.20%,48.80%,https://secure.actblue.com/contribute/page/wextonforcongress/
NM-2,Open seat,,Xochitl Torres Small,"$934,715",39.32%,"23,769.58","19,887.55",Yvette Herrell,"$522,357",60.68%,"8,608.96","9,855.80",Toss Up R,39.90%,44.90%,https://secure.actblue.com/donate/xochitl-torres-small
NE-2,Don Bacon,,Kara Eastman,"$783,953",31.74%,"24,699.22","60,304.10",Don Bacon,"$1,841,308",68.26%,"26,974.92","21,164.46",Lean R,46.00%,45.70%,https://secure.actblue.com/donate/eastmanforcongressweb
FL-27,Open seat,2018-8-28,Donna Shalala,"$2,079,216",82.93%,"25,071.94","44,238.64",Maria Salazar,"$685,786",17.07%,"40,179.64","12,939.36",Toss Up R,58.50%,53.00%,#N/A
WA-8,Open seat,,Kim Schrier,"$1,611,072",62.23%,"25,888.16","34,278.13",Dino Rossi,"$3,005,150",37.77%,"79,568.68","56,700.94",Toss Up R,47.70%,49.70%,https://secure.actblue.com/donate/kimschrier
ME-2,Bruce Poliquin,,Jared Golden,"$1,179,517",44.61%,"26,438.28","25,096.11",Bruce Poliquin,"$3,178,415",55.39%,"57,386.61","59,970.09",Toss Up R,41.10%,53.00%,https://secure.actblue.com/donate/jaredforcongress
