Name,Party,District,Winner,Presumptive,Trimmed
Alyse Galvin,D,AK-1,X,,Alyse Galvin
Don Young,R,AK-1,X,,Don Young
Robert Kennedy Jr.,D,AL-1,X,,Robert Kennedy Jr.
Bradley Byrne,R,AL-1,X,,Bradley Byrne
Tabitha Isner,D,AL-2,X,,Tabitha Isner
Martha Roby,R,AL-2,X,,Martha Roby
Mallory Hagan,D,AL-3,X,,Mallory Hagan
Mike D Rogers,R,AL-3,X,,Mike D Rogers
Lee Auman,D,AL-4,X,,Lee Auman
Robert B Aderholt,R,AL-4,X,,Robert B Aderholt
Peter Joffrion,D,AL-5,X,,Peter Joffrion
Mo Brooks,R,AL-5,X,,Mo Brooks
Danner Kline,D,AL-6,X,,Danner Kline
Gary Palmer,R,AL-6,X,,Gary Palmer
Terri A Sewell,D,AL-7,X,,Terri A Sewell
Chintan Desai,D,AR-1,X,,Chintan Desai
Rick Crawford,R,AR-1,X,,Rick Crawford
Clarke Tucker,D,AR-2,X,,Clarke Tucker
French Hill,R,AR-2,X,,French Hill
Josh Mahony,D,AR-3,X,,Josh Mahony
Steve Womack,R,AR-3,X,,Steve Womack
Hayden Shamel,D,AR-4,X,,Hayden Shamel
Bruce Westerman,R,AR-4,X,,Bruce Westerman
Tom O'Halleran,D,AZ-1,X,,Tom O'Halleran
Wendy Rogers,R,AZ-1,X,,Wendy Rogers
Ann Kirkpatrick,D,AZ-2,X,,Ann Kirkpatrick
Lea Marquez Peterson,R,AZ-2,X,,Lea Marquez Peterson
Raul Grijalva,D,AZ-3,X,,Raul Grijalva
Nick Pierson,R,AZ-3,X,,Nick Pierson
David Brill,D,AZ-4,X,,David Brill
Paul Gosar,R,AZ-4,X,,Paul Gosar
Joan Greene,D,AZ-5,X,,Joan Greene
Andy Biggs,R,AZ-5,X,,Andy Biggs
Anita Malik,D,AZ-6,X,,Anita Malik
David Schweikert,R,AZ-6,X,,David Schweikert
Ruben Gallego,D,AZ-7,X,,Ruben Gallego
Hiral Tipirneni,D,AZ-8,X,,Hiral Tipirneni
Debbie Lesko,R,AZ-8,X,,Debbie Lesko
Greg Stanton,D,AZ-9,X,,Greg Stanton
Steve Ferrara,R,AZ-9,X,,Steve Ferrara
