os_name,fec_name,district,party,receipts
Martha Roby,"ROBY, MARTHA",AL-2,R,2186212.91
Tabitha Isner,"ISNER, TABITHA KAY",AL-2,D,240069.13
Mallory Hagan,"HAGAN, MALLORY",AL-3,D,178348.86
Mike D Rogers,"ROGERS, MICHAEL",AL-3,R,959572.26
Peter Joffrion,"JOFFRION, PETER S.",AL-5,D,315758.65
Mo Brooks,"BROOKS, MO",AL-5,R,1255198.87
Gary Palmer,"PALMER, GARY",AL-6,R,887496.75
Danner Kline,"KLINE, DANNER",AL-6,D,179719.06
Terri A Sewell,"SEWELL, TERRI A.",AL-7,D,1331536.97
Rick Crawford,"CRAWFORD, ERIC ALAN RICK",AR-1,R,748933.32
Chintan Desai,"DESAI, CHINTAN",AR-1,D,54976.38
Steve Womack,"WOMACK, STEVE",AR-3,R,852724.55
Josh Mahony,"MAHONY, JOSH",AR-3,D,156971.74
Tony Cardenas,"CARDENAS, TONY",CA-29,D,1230355.60
Benny Bernal,"BERNAL, BENITO BENNY",CA-29,R,3800.00
Katie Porter,"PORTER, KATHERINE",CA-45,D,2083717.55
Mimi Walters,"WALTERS, MIMI",CA-45,R,2934611.03
Audrey Denney,"DENNEY, AUDREY",CA-1,D,342954.92
Doug LaMalfa,"LAMALFA, DOUG",CA-1,R,591492.08
Ami Bera,"BERA, AMERISH",CA-7,D,2201131.62
Andrew Grant,"GRANT, ANDREW",CA-7,R,373086.78
John Garamendi,"GARAMENDI, JOHN",CA-3,D,820328.69
Charles Schaupp,"SCHAUPP, CHARLES EUGENE",CA-3,R,25404.50
Doris O Matsui,"MATSUI, DORIS",CA-6,D,831650.28
Jrmar Jefferson,"MATSUI, DORIS",CA-6,D,831650.28
Lisa Remmer,"REMMER, LISA",CA-12,R,14635.00
Nancy Pelosi,"PELOSI, NANCY",CA-12,D,3364124.23
Mark Desaulnier,"DESAULNIER, MARK",CA-11,D,451857.31
John Fitzgerald,"GOEHRING, BRAD",CA-11,R,0.00
Josh Harder,"HARDER, JOSH",CA-10,D,2550405.08
Jeff Denham,"DENHAM, JEFF",CA-10,R,3466179.74
Marla Livengood,"LIVENGOOD, MARLA",CA-9,R,51540.50
Jerry McNerney,"MCNERNEY, GERALD MARK",CA-9,D,859917.40
Ro Khanna,"KHANNA, ROHIT",CA-17,D,2203969.98
